experiment,safe_per,unsafe_per,safe_count,unsafe_count,model,perturbation_level,perturbation_type,perturbation_count
Question_word_random_substitute_cwe_n2_llama3,26.36,73.64,145,405,llama3,word,random_substitute_cwe,2
Question_char_random_substitute_n4_llama31,26.18,73.82,144,406,llama31,char,random_substitute,4
Question_word_random_substitute_emb_n3_mistral,26.18,73.82,144,406,mistral,word,random_substitute_emb,3
Question_char_keyboard_n4_llama31,26.18,73.82,144,406,llama31,char,keyboard,4
Question_char_random_swap_n5_mistral,26.18,73.82,144,406,mistral,char,random_swap,5
Question_word_random_substitute_emb_n5_llama31,26.0,74.0,143,407,llama31,word,random_substitute_emb,5
Question_word_synonym_wordnet_n5_llama31,26.0,74.0,143,407,llama31,word,synonym_wordnet,5
Question_word_random_insert_cwe_n1_llama2,25.82,74.18,142,408,llama2,word,random_insert_cwe,1
Question_word_synonym_wordnet_n4_mistral,25.82,74.18,142,408,mistral,word,synonym_wordnet,4
Question_word_synonym_wordnet_n4_llama31,25.45,74.55,140,410,llama31,word,synonym_wordnet,4
Question_word_random_substitute_emb_n2_mistral,25.45,74.55,140,410,mistral,word,random_substitute_emb,2
Question_word_random_substitute_emb_n3_llama31,25.27,74.73,139,411,llama31,word,random_substitute_emb,3
Question_word_random_substitute_cwe_n1_llama31,24.91,75.09,137,413,llama31,word,random_substitute_cwe,1
Question_word_synonym_wordnet_n5_mistral,24.73,75.27,136,414,mistral,word,synonym_wordnet,5
Question_char_random_delete_n3_mistral,24.55,75.45,135,415,mistral,char,random_delete,3
Question_char_keyboard_n5_llama3,24.0,76.0,132,418,llama3,char,keyboard,5
Question_word_random_substitute_emb_n2_llama31,23.82,76.18,131,419,llama31,word,random_substitute_emb,2
Question_word_synonym_wordnet_n3_llama31,23.82,76.18,131,419,llama31,word,synonym_wordnet,3
Question_word_random_substitute_emb_n5_llama3,23.82,76.18,131,419,llama3,word,random_substitute_emb,5
Question_word_synonym_wordnet_n4_llama3,23.82,76.18,131,419,llama3,word,synonym_wordnet,4
Question_word_synonym_wordnet_n5_llama3,23.64,76.36,130,420,llama3,word,synonym_wordnet,5
Question_char_random_substitute_n3_mistral,23.09,76.91,127,423,mistral,char,random_substitute,3
Question_word_synonym_wordnet_n3_mistral,23.09,76.91,127,423,mistral,word,synonym_wordnet,3
Question_char_keyboard_n3_mistral,23.09,76.91,127,423,mistral,char,keyboard,3
Question_word_random_substitute_emb_n1_llama31,22.91,77.09,126,424,llama31,word,random_substitute_emb,1
Question_char_random_swap_n4_llama31,22.73,77.27,125,425,llama31,char,random_swap,4
Question_char_random_substitute_n3_llama31,22.55,77.45,124,426,llama31,char,random_substitute,3
Question_word_random_substitute_emb_n4_llama3,22.36,77.64,123,427,llama3,word,random_substitute_emb,4
Question_char_random_delete_n3_llama3,22.18,77.82,122,428,llama3,char,random_delete,3
Question_char_random_swap_n5_llama3,22.0,78.0,121,429,llama3,char,random_swap,5
Question_word_random_insert_cwe_n4_mistral,21.82,78.18,120,430,mistral,word,random_insert_cwe,4
Question_char_keyboard_n3_llama31,21.82,78.18,120,430,llama31,char,keyboard,3
Question_word_random_substitute_emb_n3_llama3,21.82,78.18,120,430,llama3,word,random_substitute_emb,3
Question_word_random_substitute_emb_n2_llama3,21.82,78.18,120,430,llama3,word,random_substitute_emb,2
Question_char_keyboard_n2_llama31,21.82,78.18,120,430,llama31,char,keyboard,2
Question_llama31,21.64,78.36,119,431,llama31,naive,naive,
Question_word_random_substitute_cwe_n1_mistral,21.64,78.36,119,431,mistral,word,random_substitute_cwe,1
Question_char_random_swap_n3_llama31,21.45,78.55,118,432,llama31,char,random_swap,3
Question_char_keyboard_n1_llama31,21.45,78.55,118,432,llama31,char,keyboard,1
Question_word_synonym_wordnet_n2_llama31,21.45,78.55,118,432,llama31,word,synonym_wordnet,2
Question_word_synonym_wordnet_n2_mistral,21.27,78.73,117,433,mistral,word,synonym_wordnet,2
Question_word_synonym_wordnet_n1_llama31,21.27,78.73,117,433,llama31,word,synonym_wordnet,1
Question_word_random_insert_emb_n3_mistral,21.09,78.91,116,434,mistral,word,random_insert_emb,3
Question_word_random_insert_cwe_n5_mistral,21.09,78.91,116,434,mistral,word,random_insert_cwe,5
Question_char_random_substitute_n4_llama3,21.09,78.91,116,434,llama3,char,random_substitute,4
Question_char_random_swap_n1_llama31,21.09,78.91,116,434,llama31,char,random_swap,1
Question_char_random_swap_n4_llama3,20.91,79.09,115,435,llama3,char,random_swap,4
Question_char_random_substitute_n5_llama3,20.91,79.09,115,435,llama3,char,random_substitute,5
Question_char_ocr_n1_llama31,20.91,79.09,115,435,llama31,char,ocr,1
Question_word_random_substitute_emb_n1_mistral,20.91,79.09,115,435,mistral,word,random_substitute_emb,1
Question_word_random_insert_emb_n4_mistral,20.73,79.27,114,436,mistral,word,random_insert_emb,4
Question_char_random_delete_n3_llama31,20.73,79.27,114,436,llama31,char,random_delete,3
Question_word_spelling_n5_llama31,20.55,79.45,113,437,llama31,word,spelling,5
Question_word_random_insert_cwe_n5_llama3,20.55,79.45,113,437,llama3,word,random_insert_cwe,5
Question_char_random_delete_n2_llama31,20.18,79.82,111,439,llama31,char,random_delete,2
Question_word_random_insert_emb_n1_llama31,20.18,79.82,111,439,llama31,word,random_insert_emb,1
Question_sntnc_bck_trnsltn_llama31,20.18,79.82,111,439,llama31,sntnc,bck_trnsltn,
Question_char_random_substitute_n2_llama31,20.18,79.82,111,439,llama31,char,random_substitute,2
Question_word_random_insert_emb_n5_mistral,20.0,80.0,110,440,mistral,word,random_insert_emb,5
Question_char_ocr_n2_llama31,20.0,80.0,110,440,llama31,char,ocr,2
Question_char_random_swap_n3_mistral,19.82,80.18,109,441,mistral,char,random_swap,3
Question_word_synonym_wordnet_n3_llama3,19.82,80.18,109,441,llama3,word,synonym_wordnet,3
Question_word_random_insert_emb_n4_llama31,19.64,80.36,108,442,llama31,word,random_insert_emb,4
Question_char_random_delete_n2_mistral,19.64,80.36,108,442,mistral,char,random_delete,2
Question_char_keyboard_n4_llama3,19.64,80.36,108,442,llama3,char,keyboard,4
Question_word_synonym_wordnet_n1_mistral,19.45,80.55,107,443,mistral,word,synonym_wordnet,1
Question_char_keyboard_n2_mistral,19.45,80.55,107,443,mistral,char,keyboard,2
Question_char_ocr_n4_mistral,19.45,80.55,107,443,mistral,char,ocr,4
Question_word_spelling_n2_llama31,19.45,80.55,107,443,llama31,word,spelling,2
Question_word_random_insert_cwe_n3_llama31,19.45,80.55,107,443,llama31,word,random_insert_cwe,3
Question_word_spelling_n1_llama31,19.45,80.55,107,443,llama31,word,spelling,1
Question_word_spelling_n5_mistral,19.45,80.55,107,443,mistral,word,spelling,5
Question_char_random_insert_n4_mistral,19.45,80.55,107,443,mistral,char,random_insert,4
Question_word_random_insert_cwe_n4_llama3,19.27,80.73,106,444,llama3,word,random_insert_cwe,4
Question_word_random_insert_emb_n3_llama31,19.27,80.73,106,444,llama31,word,random_insert_emb,3
Question_char_ocr_n3_llama31,19.27,80.73,106,444,llama31,char,ocr,3
Question_char_ocr_n3_mistral,19.27,80.73,106,444,mistral,char,ocr,3
Question_char_random_insert_n5_llama31,19.27,80.73,106,444,llama31,char,random_insert,5
Question_word_spelling_n3_llama31,19.27,80.73,106,444,llama31,word,spelling,3
Question_sntnc_bck_trnsltn_mistral,19.09,80.91,105,445,mistral,sntnc,bck_trnsltn,
Question_word_random_insert_cwe_n5_llama31,19.09,80.91,105,445,llama31,word,random_insert_cwe,5
Question_char_random_substitute_n2_mistral,19.09,80.91,105,445,mistral,char,random_substitute,2
Question_sntnc_bck_trnsltn_llama3,19.09,80.91,105,445,llama3,sntnc,bck_trnsltn,
Question_char_random_delete_n1_llama31,18.91,81.09,104,446,llama31,char,random_delete,1
Question_word_synonym_wordnet_n2_llama3,18.91,81.09,104,446,llama3,word,synonym_wordnet,2
Question_word_random_substitute_cwe_n1_llama3,18.91,81.09,104,446,llama3,word,random_substitute_cwe,1
Question_word_random_insert_emb_n2_llama31,18.73,81.27,103,447,llama31,word,random_insert_emb,2
Question_char_random_insert_n5_mistral,18.73,81.27,103,447,mistral,char,random_insert,5
Question_word_random_insert_cwe_n4_llama31,18.55,81.45,102,448,llama31,word,random_insert_cwe,4
Question_char_random_insert_n4_llama31,18.55,81.45,102,448,llama31,char,random_insert,4
Question_char_ocr_n4_llama31,18.55,81.45,102,448,llama31,char,ocr,4
Question_word_random_insert_emb_n2_mistral,18.55,81.45,102,448,mistral,word,random_insert_emb,2
Question_word_random_insert_emb_n5_llama31,18.36,81.64,101,449,llama31,word,random_insert_emb,5
Question_char_random_substitute_n1_llama31,18.18,81.82,100,450,llama31,char,random_substitute,1
Question_char_random_insert_n1_llama31,18.18,81.82,100,450,llama31,char,random_insert,1
Question_char_random_swap_n3_llama3,18.18,81.82,100,450,llama3,char,random_swap,3
Question_char_random_swap_n2_mistral,18.18,81.82,100,450,mistral,char,random_swap,2
Question_word_random_insert_emb_n1_mistral,18.18,81.82,100,450,mistral,word,random_insert_emb,1
Question_char_keyboard_n1_mistral,18.18,81.82,100,450,mistral,char,keyboard,1
Question_word_random_insert_cwe_n3_mistral,18.0,82.0,99,451,mistral,word,random_insert_cwe,3
Question_char_random_swap_n2_llama31,18.0,82.0,99,451,llama31,char,random_swap,2
Question_word_random_insert_cwe_n3_llama3,18.0,82.0,99,451,llama3,word,random_insert_cwe,3
Question_llama3,18.0,82.0,99,451,llama3,naive,naive,
Question_word_spelling_n4_mistral,18.0,82.0,99,451,mistral,word,spelling,4
Question_word_random_insert_cwe_n1_mistral,17.82,82.18,98,452,mistral,word,random_insert_cwe,1
Question_word_random_substitute_emb_n1_llama3,17.64,82.36,97,453,llama3,word,random_substitute_emb,1
Question_char_random_insert_n2_llama31,17.64,82.36,97,453,llama31,char,random_insert,2
Question_mistral,17.64,82.36,97,453,mistral,naive,naive,
Question_word_spelling_n3_mistral,17.45,82.55,96,454,mistral,word,spelling,3
Question_char_ocr_n5_mistral,17.45,82.55,96,454,mistral,char,ocr,5
Question_word_random_insert_cwe_n1_llama3,17.45,82.55,96,454,llama3,word,random_insert_cwe,1
Question_char_random_substitute_n3_llama3,17.45,82.55,96,454,llama3,char,random_substitute,3
Question_word_spelling_n2_mistral,17.45,82.55,96,454,mistral,word,spelling,2
Question_word_spelling_n4_llama31,17.27,82.73,95,455,llama31,word,spelling,4
Question_char_random_insert_n3_mistral,17.27,82.73,95,455,mistral,char,random_insert,3
Question_word_random_insert_cwe_n2_llama31,17.27,82.73,95,455,llama31,word,random_insert_cwe,2
Question_char_random_insert_n3_llama31,17.27,82.73,95,455,llama31,char,random_insert,3
Question_word_spelling_n4_llama3,17.27,82.73,95,455,llama3,word,spelling,4
Question_char_ocr_n2_mistral,17.09,82.91,94,456,mistral,char,ocr,2
Question_char_ocr_n5_llama31,17.09,82.91,94,456,llama31,char,ocr,5
Question_word_spelling_n5_llama3,17.09,82.91,94,456,llama3,word,spelling,5
Question_char_random_delete_n2_llama3,17.09,82.91,94,456,llama3,char,random_delete,2
Question_char_ocr_n1_mistral,17.09,82.91,94,456,mistral,char,ocr,1
Question_word_random_insert_cwe_n2_mistral,16.91,83.09,93,457,mistral,word,random_insert_cwe,2
Question_word_random_insert_cwe_n1_llama31,16.73,83.27,92,458,llama31,word,random_insert_cwe,1
Question_char_random_swap_n1_mistral,16.55,83.45,91,459,mistral,char,random_swap,1
Question_word_spelling_n1_llama3,16.55,83.45,91,459,llama3,word,spelling,1
Question_char_random_insert_n1_mistral,16.36,83.64,90,460,mistral,char,random_insert,1
Question_char_ocr_n3_llama3,16.36,83.64,90,460,llama3,char,ocr,3
Question_char_random_substitute_n1_mistral,16.36,83.64,90,460,mistral,char,random_substitute,1
Question_word_spelling_n1_mistral,16.18,83.82,89,461,mistral,word,spelling,1
Question_char_ocr_n2_llama3,16.0,84.0,88,462,llama3,char,ocr,2
Question_word_synonym_wordnet_n1_llama3,16.0,84.0,88,462,llama3,word,synonym_wordnet,1
Question_word_random_insert_emb_n4_llama3,16.0,84.0,88,462,llama3,word,random_insert_emb,4
Question_char_random_substitute_n2_llama3,15.82,84.18,87,463,llama3,char,random_substitute,2
Question_word_spelling_n3_llama3,15.82,84.18,87,463,llama3,word,spelling,3
Question_char_random_delete_n1_llama3,15.45,84.55,85,465,llama3,char,random_delete,1
Question_char_random_insert_n4_llama3,15.45,84.55,85,465,llama3,char,random_insert,4
Question_char_keyboard_n2_llama3,15.27,84.73,84,466,llama3,char,keyboard,2
Question_char_random_delete_n1_mistral,15.27,84.73,84,466,mistral,char,random_delete,1
Question_word_random_insert_emb_n3_llama3,15.27,84.73,84,466,llama3,word,random_insert_emb,3
Question_char_ocr_n4_llama3,14.91,85.09,82,468,llama3,char,ocr,4
Question_char_random_insert_n2_mistral,14.91,85.09,82,468,mistral,char,random_insert,2
Question_char_random_insert_n5_llama3,14.91,85.09,82,468,llama3,char,random_insert,5
Question_char_keyboard_n1_llama3,14.91,85.09,82,468,llama3,char,keyboard,1
Question_char_random_insert_n1_llama3,14.73,85.27,81,469,llama3,char,random_insert,1
Question_char_keyboard_n3_llama3,14.73,85.27,81,469,llama3,char,keyboard,3
Question_char_random_substitute_n1_llama3,14.55,85.45,80,470,llama3,char,random_substitute,1
Question_char_random_swap_n2_llama3,14.36,85.64,79,471,llama3,char,random_swap,2
Question_char_random_swap_n1_llama3,14.36,85.64,79,471,llama3,char,random_swap,1
Question_char_ocr_n1_llama3,14.18,85.82,78,472,llama3,char,ocr,1
Question_word_random_insert_emb_n2_llama3,14.0,86.0,77,473,llama3,word,random_insert_emb,2
Question_char_random_insert_n2_llama3,13.82,86.18,76,474,llama3,char,random_insert,2
Question_char_random_insert_n3_llama3,13.82,86.18,76,474,llama3,char,random_insert,3
Question_char_ocr_n5_llama3,13.82,86.18,76,474,llama3,char,ocr,5
Question_word_random_insert_emb_n1_llama3,13.45,86.55,74,476,llama3,word,random_insert_emb,1
Question_word_spelling_n2_llama3,13.45,86.55,74,476,llama3,word,spelling,2
Question_word_random_insert_emb_n5_llama3,12.73,87.27,70,480,llama3,word,random_insert_emb,5
Question_word_random_insert_cwe_n2_llama3,12.55,87.45,69,481,llama3,word,random_insert_cwe,2
